id1,id2,weight
6114,0,1
6115,4367,1
6116,5450,1
6117,4,1
6117,600,1
6117,2777,1
6118,4381,1
6118,5824,1
6119,4388,1
6120,6,1
6121,7,1
6121,254,1
6121,409,1
6121,811,1
6121,927,1
6121,995,1
6121,1242,1
6121,2371,1
6121,3212,1
6121,4012,1
6121,4232,1
6121,4649,1
6121,5022,1
6121,5293,1
6121,5431,1
6122,4393,1
6123,10,1
6123,1581,1
6123,5059,1
6124,4398,1
6125,4405,1
6126,12,1
6127,13,1
6127,2621,1
6127,2819,1
6127,5588,1
6128,15,1
6128,1833,1
6128,2811,1
6128,5790,1
6129,4419,1
6130,16,1
6130,1771,1
6131,4421,1
6131,4640,1
6132,310,1
6132,4739,1
6133,18,1
6134,4429,1
6134,5297,1
6135,3433,1
6136,4434,1
6137,4436,1
6138,24,1
6138,2815,1
6139,4439,1
6139,4661,1
6139,5319,1
6139,5516,1
6140,4442,1
6141,5251,1
6142,28,1
6143,4445,1
6143,5352,1
6144,4449,1
6145,4450,1
6145,4811,1
6146,31,1
6146,1906,1
6147,4454,1
6148,32,1
6149,33,1
6150,4465,1
6151,34,1
6152,4468,1
6153,35,1
6154,36,1
6155,4473,1
6156,4477,1
6157,38,1
6157,3108,1
6158,4484,1
6159,1955,1
6160,39,1
6161,4488,1
6162,4490,1
6163,4493,1
6164,5169,1
6165,42,1
6165,103,1
6165,763,1
6165,1580,1
6165,1611,1
6165,2077,1
6165,2678,1
6165,2715,1
6165,3286,1
6165,3594,1
6165,3851,1
6165,4014,1
6165,4185,1
6165,4884,1
6165,5263,1
6165,5961,1
6165,5980,1
6166,4494,1
6167,43,1
6167,5280,1
6167,5733,1
6168,4496,1
6169,44,1
6169,1167,1
6170,4497,1
6171,45,1
6172,4501,1
6173,46,1
6173,2994,1
6174,4502,1
6175,47,1
6176,3313,1
6177,49,1
6177,3861,1
6178,4523,1
6179,50,1
6179,1272,1
6179,1661,1
6179,2140,1
6179,5993,1
6180,4526,1
6181,4528,1
6182,53,1
6183,4533,1
6184,4535,1
6185,853,1
6185,5110,1
6186,55,1
6187,4545,1
6188,57,1
6188,367,1
6188,5989,1
6189,4551,1
6190,4036,1
6191,4560,1
6192,60,1
6192,218,1
6192,602,1
6192,895,1
6192,1091,1
6192,1104,1
6192,1176,1
6192,1201,1
6192,1664,1
