id1,id2,weight
6117,4,1
6117,600,1
6117,2777,1
6118,4381,1
6118,5824,1
6121,7,1
6121,254,1
6121,409,1
6121,811,1
6121,927,1
6121,995,1
6121,1242,1
6121,2371,1
6121,3212,1
6121,4012,1
6121,4232,1
6121,4649,1
6121,5022,1
6121,5293,1
6121,5431,1
6123,10,1
6123,1581,1
6123,5059,1
6127,13,1
6127,2621,1
6127,2819,1
6127,5588,1
6128,15,1
6128,1833,1
6128,2811,1
6128,5790,1
6130,16,1
6130,1771,1
6131,4421,1
6131,4640,1
6132,310,1
6132,4739,1
6134,4429,1
6134,5297,1
6138,24,1
6138,2815,1
6139,4439,1
6139,4661,1
6139,5319,1
6139,5516,1
6143,4445,1
6143,5352,1
6145,4450,1
6145,4811,1
6146,31,1
6146,1906,1
6157,38,1
6157,3108,1
6165,42,1
6165,103,1
6165,763,1
6165,1580,1
6165,1611,1
6165,2077,1
6165,2678,1
6165,2715,1
6165,3286,1
6165,3594,1
6165,3851,1
6165,4014,1
6165,4185,1
6165,4884,1
6165,5263,1
6165,5961,1
6165,5980,1
6167,43,1
6167,5280,1
6167,5733,1
6169,44,1
6169,1167,1
6173,46,1
6173,2994,1
6177,49,1
6177,3861,1
6179,50,1
6179,1272,1
6179,1661,1
6179,2140,1
6179,5993,1
6185,853,1
6185,5110,1
6188,57,1
6188,367,1
6188,5989,1
6192,60,1
6192,218,1
6192,602,1
6192,895,1
6192,1091,1
6192,1104,1
6192,1176,1
6192,1201,1
6192,1664,1
6192,2073,1
6192,2095,1
6192,2099,1
6192,2180,1
6192,2212,1
6192,2292,1
6192,2530,1
6192,2540,1
6192,2920,1
6192,2926,1
6192,2980,1
6192,3051,1
6192,3621,1
6192,4025,1
6192,4448,1
6192,4483,1
6192,4592,1
6192,4696,1
6192,4954,1
6192,4977,1
6192,5143,1
6192,5616,1
6192,6046,1
6198,64,1
6198,5558,1
6203,68,1
6203,1275,1
6203,1847,1
6203,1949,1
6203,3470,1
6203,3662,1
6203,4789,1
6203,5458,1
6204,4606,1
6204,5274,1
6210,72,1
6210,2556,1
6210,4816,1
6210,5684,1
6213,4377,1
6213,6081,1
6217,76,1
6217,1745,1
6219,77,1
6219,832,1
6219,3278,1
6221,1008,1
6221,1696,1
6221,2583,1
6221,4022,1
6224,81,1
6224,161,1
6224,3053,1
6224,3483,1
6224,4060,1
6224,4542,1
6234,4660,1
6234,5688,1
6235,89,1
6235,1922,1
6238,91,1
6238,4189,1
6238,4417,1
6241,4679,1
6241,5857,1
6244,96,1
6244,4963,1
6247,99,1
6247,166,1
6247,327,1
6247,2197,1
6249,101,1
6249,2409,1
6249,3847,1
6254,4709,1
6254,5936,1
6256,105,1
6256,4513,1
6259,107,1
6259,2344,1
6259,3380,1
6259,3701,1
6259,3924,1
6259,4172,1
6259,5772,1
6259,5948,1
6267,2755,1
6267,5635,1
6267,6037,1
6268,4396,1
6268,4420,1
6269,113,1
6269,1956,1
6269,5606,1
6272,115,1
6272,121,1
6272,1113,1
6272,5275,1
6277,118,1
6277,734,1
6282,122,1
6282,3404,1
6286,1563,1
6286,4044,1
6286,5718,1
6293,129,1
6293,532,1
6293,5861,1
6296,132,1
6296,2250,1
6299,1305,1
6299,2075,1
6299,5349,1
6299,5543,1
6306,3078,1
6306,5296,1
6313,216,1
6313,2931,1
6316,4853,1
6316,5622,1
6317,152,1
6317,1472,1
6322,4859,1
6322,5088,1
6322,5377,1
6323,156,1
6323,930,1
6323,2591,1
6323,3695,1
6323,3734,1
6330,3500,1
6330,4978,1
6331,162,1
6331,3072,1
6331,3559,1
6331,3942,1
6331,4678,1
6332,163,1
6332,3595,1
6336,5359,1
6336,5711,1
6338,2056,1
6338,5235,1
6339,168,1
6339,3222,1
6342,170,1
6342,3849,1
6345,4901,1
6345,5372,1
6346,173,1
6346,3209,1
6347,4902,1
6347,5130,1
6349,175,1
6349,6074,1
6353,178,1
6353,3235,1
6354,4920,1
6354,5984,1
6357,181,1
6357,5468,1
6369,190,1
6369,3571,1
6369,4663,1
6369,4733,1
6382,4971,1
6382,5941,1
6385,207,1
6385,274,1
6385,5224,1
6390,212,1
6390,4389,1
6390,4593,1
6393,217,1
6393,4339,1
6398,221,1
6398,1116,1
6399,222,1
6399,2561,1
6400,292,1
6400,2837,1
6400,3956,1
6400,4546,1
6401,1985,1
6401,4222,1
6405,226,1
6405,4324,1
6413,233,1
6413,4426,1
6414,234,1
6414,2509,1
6416,236,1
6416,5938,1
6420,239,1
6420,4944,1
6421,240,1
6421,5092,1
6424,243,1
6424,5598,1
6425,244,1
6425,3774,1
6426,245,1
6426,1694,1
6429,248,1
6429,3170,1
6429,3883,1
6429,5846,1
6433,251,1
6433,5034,1
6435,2690,1
6435,3135,1
6435,5868,1
6437,253,1
6437,4341,1
6441,258,1
6441,5520,1
6443,3067,1
6443,4823,1
6445,4461,1
6445,4867,1
6446,260,1
6446,3722,1
6448,262,1
6448,825,1
6448,2428,1
6448,3949,1
6454,266,1
6454,4220,1
6456,268,1
6456,349,1
6456,1001,1
6456,2410,1
6456,4289,1
6458,271,1
6458,2453,1
6458,3360,1
6458,4514,1
6458,5456,1
6461,1258,1
6461,2210,1
6461,3217,1
6465,1019,1
6465,3425,1
6468,280,1
6468,5565,1
6468,5645,1
6470,281,1
6470,306,1
6470,1171,1
6470,2802,1
6474,283,1
6474,373,1
6474,3825,1
6474,5306,1
6482,289,1
6482,4825,1
6482,5021,1
6484,3900,1
6484,4554,1
6487,294,1
6487,4527,1
6488,5435,1
6488,5800,1
6491,296,1
6491,2035,1
6491,2889,1
6495,1046,1
6495,3354,1
6502,308,1
6502,3764,1
6502,5023,1
6504,309,1
6504,1721,1
6504,3349,1
6504,3643,1
6508,311,1
6508,867,1
6508,1049,1
6508,1557,1
6508,1861,1
6508,3983,1
6513,315,1
6513,1360,1
6515,317,1
6515,690,1
6515,2110,1
6515,2820,1
6515,5459,1
6515,5625,1
6515,5801,1
6516,318,1
6516,1536,1
6516,5643,1
6518,319,1
6518,3385,1
6522,322,1
6522,5750,1
6531,331,1
6531,2176,1
6531,3997,1
6531,4094,1
6531,4227,1
6531,4693,1
6531,6082,1
6533,335,1
6533,1522,1
6533,1969,1
6533,4863,1
6537,340,1
6537,904,1
6537,5116,1
6544,346,1
6544,5605,1
6546,347,1
6546,1060,1
6546,5125,1
6546,5191,1
6550,350,1
6550,1440,1
6550,2062,1
6550,2963,1
6550,4018,1
6550,4244,1
6550,4639,1
6550,4828,1
6550,5409,1
6553,352,1
6553,2445,1
6554,5267,1
6554,5491,1
6556,354,1
6556,698,1
6556,2161,1
6556,2711,1
6557,355,1
6557,5254,1
6572,366,1
6572,4673,1
6586,3002,1
6586,5758,1
6587,377,1
6587,2060,1
6587,4314,1
6592,381,1
6592,1683,1
6596,384,1
6596,456,1
6596,2234,1
6596,3823,1
6596,4446,1
6596,5283,1
6596,5621,1
6599,387,1
6599,474,1
6599,2991,1
6599,5465,1
6605,391,1
6605,2145,1
6605,3648,1
6605,4653,1
6606,5353,1
6606,5651,1
6614,400,1
6614,411,1
6614,1227,1
6614,1630,1
6614,2878,1
6614,3656,1
6614,5154,1
6615,401,1
6615,412,1
6615,696,1
6615,1074,1
6615,1363,1
6615,2524,1
6615,2761,1
6615,3361,1
6615,4252,1
6615,4722,1
6619,403,1
6619,2241,1
6623,406,1
6623,2216,1
6623,5144,1
6627,413,1
6627,2178,1
6627,5831,1
6630,419,1
6630,2374,1
6632,421,1
6632,3870,1
6636,3317,1
6636,4612,1
6639,691,1
6639,699,1
6641,427,1
6641,1863,1
6642,428,1
6642,2584,1
6644,429,1
6644,3236,1
6646,430,1
6646,523,1
6646,990,1
6646,1129,1
6646,1204,1
6646,1556,1
6646,1562,1
6646,1708,1
6646,1942,1
6646,2199,1
6646,2541,1
6646,2784,1
6646,3123,1
6646,3182,1
6646,3185,1
6646,3742,1
6646,3993,1
6646,4008,1
6646,4026,1
6646,4508,1
6646,4798,1
6646,4918,1
6646,5064,1
6646,5242,1
6646,5298,1
6646,5810,1
6646,5972,1
6646,6038,1
6646,6092,1
6650,433,1
6650,943,1
6650,1073,1
6650,2305,1
6650,2562,1
6650,2752,1
6650,3721,1
6650,4070,1
6650,4923,1
6650,4983,1
6650,4490,1
6654,436,1
6654,1603,1
6674,460,1
6674,4443,1
6677,5499,1
6677,5889,1
6678,463,1
6678,1143,1
6678,1714,1
6678,2519,1
6678,2887,1
6678,3637,1
6678,6105,1
6679,464,1
6679,1427,1
6679,5054,1
6681,465,1
6681,508,1
6681,1516,1
6682,466,1
6682,5566,1
6686,5519,1
6686,5544,1
6686,5585,1
6690,475,1
6690,655,1
6690,4205,1
6690,4689,1
6690,4744,1
6690,5187,1
6690,5357,1
6690,5429,1
6690,5843,1
6690,5921,1
6690,6019,1
6695,479,1
6695,4682,1
6707,493,1
6707,593,1
6709,497,1
6709,1983,1
6709,3487,1
6711,498,1
6711,587,1
6711,802,1
6713,499,1
6713,4308,1
6713,4924,1
6718,1941,1
6718,2705,1
6718,4734,1
6720,503,1
6720,1706,1
6720,2949,1
6722,870,1
6722,2420,1
6726,507,1
6726,4605,1
6726,5247,1
6728,509,1
6728,3112,1
6731,5600,1
6731,5847,1
6735,513,1
6735,2547,1
6735,5754,1
6737,515,1
6737,3952,1
6738,516,1
6738,2718,1
6740,517,1
6740,560,1
6740,4708,1
6742,518,1
6742,2269,1
6745,521,1
6745,986,1
6754,528,1
6754,5680,1
6757,530,1
6757,1020,1
6760,535,1
6760,1828,1
6760,5413,1
6768,539,1
6768,2559,1
6768,4460,1
6768,4981,1
6770,544,1
6770,5858,1
6773,546,1
6773,2590,1
6775,549,1
6775,2137,1
6793,1647,1
6793,3474,1
6794,566,1
6794,1744,1
6798,568,1
6798,1382,1
6798,4724,1
6802,571,1
6802,3012,1
6802,4326,1
6809,577,1
6809,4671,1
6809,4765,1
6809,5162,1
6816,588,1
6816,1582,1
6816,1824,1
6818,2124,1
6818,5039,1
6821,592,1
6821,4327,1
6823,5781,1
6823,5956,1
6834,606,1
6834,6069,1
6836,607,1
6836,1904,1
6836,2697,1
6836,2886,1
6836,5897,1
6849,615,1
6849,3502,1
6849,4352,1
6853,619,1
6853,4037,1
6856,5834,1
6856,5882,1
6857,2663,1
6857,3359,1
6866,629,1
6866,4378,1
6869,631,1
6869,4550,1
6872,634,1
6872,2141,1
6872,3384,1
6873,635,1
6873,1734,1
6873,3570,1
6875,989,1
6875,2090,1
6875,3769,1
6875,3933,1
6875,4235,1
6875,5259,1
6876,641,1
6876,1149,1
6883,647,1
6883,2074,1
6888,650,1
6888,1087,1
6900,662,1
6900,5402,1
6900,4502,1
6901,663,1
6901,6103,1
6903,664,1
6903,1682,1
6909,668,1
6909,2263,1
6909,2626,1
6909,5508,1
6911,669,1
6911,2138,1
6919,677,1
6919,3877,1
6930,686,1
6930,2191,1
6935,692,1
6935,2280,1
6935,5047,1
6939,4637,1
6939,5720,1
6942,702,1
6942,3419,1
6942,5564,1
6943,5991,1
6943,6083,1
6945,706,1
6945,1928,1
6945,2965,1
6945,4057,1
6945,5532,1
6947,707,1
6947,4575,1
6954,713,1
6954,3306,1
6959,720,1
6959,934,1
6961,4988,1
6961,5137,1
6964,726,1
6964,3094,1
6964,3940,1
6964,4305,1
6966,728,1
6966,1110,1
6966,1246,1
6966,4175,1
6975,737,1
6975,2291,1
6975,5696,1
6977,738,1
6977,4796,1
